r_R,chord_baseline,twist_baseline_deg,a_baseline,alpha_baseline_deg,fnorm_baseline,chord_optimized,twist_optimized_deg,a_optimized,alpha_optimized_deg,fnorm_optimized
0.8950000000000001,1.3149999999999977,0.5300000000000077,0.2502848859865705,6.4871607161618146,3201.951433039761,1.156726577867953,3.1660598795698527,0.2857039624518277,8.841769848859371,3534.0490309882252
0.905,1.284999999999998,0.6700000000000066,0.2542695469021543,6.530804459373998,3214.7421423489673,1.1181038588764047,3.3271522261733284,0.28595256326306084,8.938908720878254,3513.7830982240894
0.9149999999999999,1.2549999999999981,0.8100000000000054,0.25927271449979766,6.5685741129309445,3222.8379066997077,1.0794053084508346,3.4883823895754036,0.28719934400016733,9.029772312317366,3486.9176117189836
0.9249999999999999,1.224999999999998,0.9500000000000061,0.26565037794074653,6.597913503943745,3225.2276848442716,1.040630926591243,3.6497503697760805,0.2898178990661274,9.111686070067963,3452.7512858697764
0.9349999999999999,1.1949999999999983,1.090000000000005,0.273931406150029,6.61505564497021,3220.481424160136,1.001780713297629,3.8112561667753573,0.2943618569209678,9.180714850992565,3410.3661618538663
0.945,1.164999999999998,1.2300000000000058,0.28494468413285057,6.614126514991413,3206.442233486417,0.9628546685699945,3.972899780573233,0.3017042612688947,9.23067669515472,3358.4585326323345
0.955,1.1349999999999982,1.3700000000000063,0.30008540577879417,6.585265435666801,3179.5789790792523,0.9238527924083382,4.134681211169709,0.3133360218456995,9.251029807575748,3294.9738094763843
0.965,1.1049999999999978,1.5100000000000071,0.32194751567545865,6.510155745882926,3133.442477414305,0.8847750848126599,4.296600458564784,0.33209370009201356,9.22171624109314,3216.2172442444185
0.975,1.074999999999998,1.6500000000000077,0.3561291734455846,6.349252259494809,3054.2390943401265,0.8456215457829607,4.458657522758458,0.36430311543669835,9.09796528910212,3114.199528551597
0.985,1.0449999999999977,1.7900000000000067,0.4184264704059679,5.990823533544468,2904.8188855686994,0.8063921753192398,4.6208524037507335,0.4284765287856639,8.748595736238977,2965.832757728211
0.995,1.014999999999998,1.9300000000000073,0.5894002729610598,4.864615566832238,2491.6102082367865,0.7670869734214971,4.783185101541608,0.6149100248569143,7.534422618753926,2589.2132612886726
